;ID;position.x;position.y;position.z;total_volume;cell_type;cycle_model;current_phase;elapsed_time_in_phase;nuclear_volume;cytoplasmic_volume;fluid_fraction;calcified_fraction;orientation.x;orientation.y;orientation.z;polarity;migration_speed;motility_vector.x;motility_vector.y;motility_vector.z;migration_bias;motility_bias_direction.x;motility_bias_direction.y;motility_bias_direction.z;persistence_time;motility_reserved;Oxygen;HIF;LDH;PDK;PDH;Diff_coeff;distance;simulation_time
5710;5709;124.507598525938;-70.6427414159707;27.4412504108272;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151181499526;3.58281931269996;3.39126645478559;6.23542867051995;0.142167657628225;54021.7385442161;145.758571719023;6
5711;5710;134.655390388707;-70.02089498856;40.539732678332;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152525892408;3.582818477587;3.39126636704367;6.23542844067575;0.142167657785604;60638.3711855039;157.093824898895;6
5712;5711;128.0634222093;-73.1221344367462;54.8057164794322;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152525892408;3.582818477587;3.39126636704367;6.23542844067575;0.142167657785604;60638.3711855039;157.323721070178;6
5713;5712;133.309519401633;-67.0458807475183;68.5614203244621;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154414021892;3.58281730528548;3.3912662446445;6.23542812004646;0.142167658004697;66336.5279668265;164.217071113854;6
5714;5713;133.153486557561;-57.929212121534;-81.536681632416;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528155060963435;3.58281692015861;3.39126621182786;6.23542803411155;0.142167658057622;69563.1070441393;166.534906404279;6
5715;5714;125.11225272415;-62.5178468945225;-68.3894749071575;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.052815437858633;3.58281734472322;3.39126625249536;6.23542814061969;0.142167657988496;63087.0267912646;155.687755588277;6
5716;5715;134.957935066762;-61.1922904159008;-54.5154141644615;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152498196804;3.58281867304794;3.39126649643571;6.2354287797454;0.142167657511896;54917.3725027453;157.892593320115;6
5717;5716;125.6636519397;-63.0789282118526;-40.9625580139865;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152498196804;3.58281851271953;3.39126637657228;6.23542846564943;0.142167657765054;54917.3725027453;146.45216202647;6
5718;5717;133.915560272392;-57.9124266305502;-27.2051094593756;2494;0;9999;3;0;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148970963531;3.58282070380931;3.39126661281685;6.2354290845304;0.142167657336285;43321.7096822931;148.416119144802;6
5719;5718;126.068249496414;-62.6568790871205;-13.7272145968529;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150489648259;3.58281974714392;3.39126650495784;6.23542880196046;0.142167657535083;46872.3952688768;141.44795667883;6
5720;5719;134.070003610947;-58.0859699351609;0.0289390503739006;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148163766116;3.58282119023565;3.39126666010887;6.23542920841671;0.142167657252599;41313.4605130062;146.112102883424;6
5721;5720;125.904494536318;-53.313898129691;13.6124335655281;2494;0;9999;3;47.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148163766116;3.58282119014911;3.39126665834404;6.23542920377996;0.142167657257883;41313.4605130062;137.403099767818;6
5722;5721;133.332828327972;-57.7995866862428;27.3172393214113;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148947888493;3.58282069981244;3.39126660499895;6.23542906403603;0.142167657354706;46190.9957693562;147.867058181261;6
5723;5722;129.587524316262;-57.4145514367444;41.3444924017016;1247;0;9999;1;23.9777777777713;270;977;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150436024466;3.58281977496462;3.39126650822097;6.23542881052364;0.142167657527834;51803.1236667532;147.643910226784;6
5724;5723;133.794340448479;-57.7351182289072;55.1126587166584;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150436024466;3.58281977496462;3.39126650822097;6.23542881052364;0.142167657527834;51803.1236667532;155.793692310594;6
5725;5724;141.508529263479;-53.1434699057192;68.3198777369377;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528156180203896;3.58281620892045;3.39126613320596;6.23542782814524;0.142167658201271;80067.3171449652;165.880975225983;6
5726;5725;133.285076977362;-58.0066762255319;81.7104358393843;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528155068062949;3.58281689993568;3.39126620682322;6.23542802099443;0.142167658068325;71050.6887221835;166.752156077987;6
5727;5726;125.242279118325;-43.4608940884263;-81.9484931616897;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528155060963435;3.58281692015861;3.39126621182786;6.23542803411155;0.142167658057622;69563.1070441393;155.852601278225;6
5728;5727;133.511553955911;-48.2071562167299;-68.5676629226661;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152530386965;3.58281849527398;3.3912663789859;6.23542847199368;0.142167657756952;54940.3832667967;157.641331347152;6
5729;5728;123.104374223059;-38.8317389549813;-54.9438186066432;1247;0;9999;1;17.9833333333259;270;977;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148931877436;3.58282070094285;3.39126655197276;6.23542892504177;0.142167657480388;42086.2770234659;140.290463347294;6
5730;5729;133.237009351359;-48.6202626230821;-41.0164860287621;2532.71678882227;0;9999;2;11.9888888888831;550.086188157295;1982.63060066498;0.740099592777714;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150370681369;3.58281983760605;3.39126652116341;6.2354288444378;0.142167657501275;47624.8868165499;147.642753715105;6
5731;5730;125.930256916745;-43.6039698694197;-27.2858735670964;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148970963531;3.58282070380931;3.39126661281685;6.2354290845304;0.142167657336285;43321.7096822931;136.030344746348;6
5732;5731;134.214873293907;-48.3238832531639;-13.691850654473;2494;0;9999;3;0;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148198276477;3.58282117720271;3.3912666617261;6.23542921264933;0.14216765724886;40706.3850344248;143.304908081717;6
5733;5732;126.310227190929;-43.6661227805158;-0.00284107099442993;2494;0;9999;4;23.9777777777713;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148198276477;3.58282117673553;3.39126665814053;6.23542920324752;0.14216765725796;40706.3850344248;133.645066425135;6
5734;5733;134.20753902688;-38.9721933075514;13.7033402909041;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528146551584302;3.582822187638;3.39126676715269;6.23542948883628;0.142167657058476;36733.0456838673;140.421782206256;6
5735;5734;125.996165311828;-43.4362675487648;27.3178891468623;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148947888493;3.58282069981244;3.39126660499895;6.23542906403603;0.142167657354706;46190.9957693562;136.044147537825;6
5736;5735;134.181322945553;-38.3838103718644;41.0485547563033;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148904515285;3.5828207222552;3.39126661246511;6.23542908362365;0.142167657336187;44985.8549652204;145.474836908873;6
5737;5736;141.949430852399;-43.3721465286791;54.4556040158807;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154408173537;3.58281730909675;3.39126624816799;6.23542812929444;0.142167657995456;74991.3702475029;158.10185584793;6
